a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1117,http://le-online.de/place/evangelisches-schulzentrum---altbau,http://le-online.de/place/evangelischesschulzentrumaltbau,"Adresse(Schletterstr. 7,04107,Leipzig)",Point(12.3770225 51.3304063)
http://le-online.de/place/1118,http://le-online.de/place/immanuel---kant---schule,http://le-online.de/place/immanuelkantschule,"Adresse(Scharnhorststr. 15,04275,Leipzig)",Point(12.3722339 51.3197864)
http://le-online.de/place/1119,http://le-online.de/place/leipzig-kolleg-institut-zum-erwerb-der-hochschulfeife,http://le-online.de/place/leipzigkolleginstitutzumerwerbderhochschulfeife,"Adresse(Czermaks Garten 8,04103,Leipzig)",Point(12.38711 51.34187)
http://le-online.de/place/1120,http://le-online.de/place/rahn-schulen-musikalisch-sportliches-gymnasium,http://le-online.de/place/rahnschulenmusikalischsportlichesgymnasium,"Adresse(Salomonstr. 10,04103,Leipzig)",Point(12.3894488 51.339675)
http://le-online.de/place/1121,http://le-online.de/place/wilhelm-ostwald-schule-(gymnasium),http://le-online.de/place/wilhelmostwaldschulegymnasium,"Adresse(Willi-Bredel-Str. 15,04279,Leipzig)",Point(12.40243 51.30021)
http://le-online.de/place/1122,http://le-online.de/place/berufliches-schulzentrum-1---wirtschaft-und-verwaltung,http://le-online.de/place/beruflichesschulzentrum1wirtschaftundverwaltung,"Adresse(Crednerstr. 1,04289,Leipzig)",Point(12.42843 51.3044079)
http://le-online.de/place/1123,http://le-online.de/place/adolph-diesterweg-schule,http://le-online.de/place/adolphdiesterwegschule,"Adresse(Portitzer Str. 1 ,04318,Leipzig)",Point(12.4252807 51.3440666)
http://le-online.de/place/1124,http://le-online.de/place/dr.-georg-sacke-schule,http://le-online.de/place/drgeorgsackeschule,"Adresse(Morawitzstr. 2,04289,Leipzig)",Point(12.44245 51.3062)
http://le-online.de/place/1125,http://le-online.de/place/ernst-zinna-schule,http://le-online.de/place/ernstzinnaschule,"Adresse(Wincklerstr. 3,04279,Leipzig)",Point(12.39544 51.28686)
http://le-online.de/place/1126,http://le-online.de/place/fritz-gietzelt-schule,http://le-online.de/place/fritzgietzeltschule,"Adresse(Kantatenweg 40,04229,Leipzig)",Point(12.33251 51.31649)
http://le-online.de/place/1127,http://le-online.de/place/johann-heinrich-pestalozzi-schule,http://le-online.de/place/johannheinrichpestalozzischule,"Adresse(Hannoversche Str. 2,04157,Leipzig)",Point(12.36368 51.37495)
http://le-online.de/place/1130,http://le-online.de/place/schule-engelsdorf,http://le-online.de/place/schuleengelsdorf,"Adresse(Riesaer Str. 177,04319,Leipzig)",Point(12.49159 51.34699)
http://le-online.de/place/1131,http://le-online.de/place/schule-schloss-schoenefeld-e.v.,http://le-online.de/place/schuleschlossschoenefeldev,"Adresse(Zeumer Str. 1-2,04347,Leipzig)",Point(12.40607 51.35943)
http://le-online.de/place/1132,http://le-online.de/place/alte-strasse,http://le-online.de/place/altestrasse,"Adresse(Alte Str. 2,04229,Leipzig)",Point(12.34192 51.3316)
http://le-online.de/place/1133,http://le-online.de/place/am-kulkwitzer-see,http://le-online.de/place/amkulkwitzersee,"Adresse(Zingster Str. 2 c,04207,Leipzig)",Point(12.2616572 51.3109927)
http://le-online.de/place/1134,http://le-online.de/place/an-der-lehde,http://le-online.de/place/anderlehde,"Adresse(An der Lehde 12 B,04179,Leipzig)",Point(12.32218 51.34556)
